Fighter_ID,Fighter_Name,Height,Reach,Stance,Weight_Class,Date_of_Birth,Country,Active_Status
487,Alexandre Pantoja,5'5'',67'',orthodox,flyweight,"April 16, 1990",Brazil,Yes
488,Muhammad Mokaev,5'7'',70'',orthodox,flyweight,"July 30, 2000",England,No
489,Tatsuro Taira,5'7'',70'',orthodox,flyweight,"January 27, 2000",Japan,Yes
490,Charles Johnson,5'9'',70'',switch,flyweight,"January 10, 1991",USA,Yes
491,Jimmy Flick,5'7'',68'',orthodox,flyweight,"September 7, 1990",USA,No
492,Ode Osbourne,5'7'',73'',southpaw,flyweight,"January 9, 1992",Jamaica,Yes
493,Cody Durden,5'7'',67'',southpaw,flyweight,"March 29, 1991",USA,Yes
494,Rafael Estevam,5'8'',69'',orthodox,flyweight,"August 10, 1996",Brazil,Yes
495,Azat Maksum,5'7'',70'',southpaw,flyweight,"February 2, 1995",Kazakhstan,No
496,Joshua Van,5'5'',65'',orthodox,flyweight,"October 10, 2001",Myanmar,Yes
497,Sumudaerji,5'8'',72'',southpaw,flyweight,"January 20, 1996",China,Yes
498,Ramazan Temirov,5'4'',63'',orthodox,flyweight,"January 31, 1997",Uzbekistan,Yes
499,Lone'er Kavanagh,5'6'',67'',orthodox,flyweight,"June 9, 1999",England,Yes
500,Nikita Krylov,6'3'',77'',orthodox,light heavyweight,"March 7, 1992",Russia,Yes
501,Soa Paleiei,6'4'',81'',orthodox,light heavyweight,"July 12, 1977",Australia,No
502,Walt Harris,6'5'',77'',southpaw,heavyweight,"June 10, 1983",USA,No
503,Ovince Saint Preux,6'3'',80'',southpaw,light heavyweight,"April 8, 1983",Haiti,No
504,Cody Donovan,6'3'',74'',orthodox,light heavyweight,"February 20, 1981",USA,No
505,Stanislav Nedkov,5'11'',71'',orthodox,light heavyweight,"December 9, 1981",Russia,No
506,Marcos Rogerio de Lima,6'1'',75'',orthodox,heavyweight,"June 25, 1985",Brazil,Yes
507,Francimar Barroso,6'1'',75'',orthodox,light heavyweight,"February 28, 1980",Brazil,No
508,Ed Herman,6'1'',77'',orthodox,light heavyweight,"October 2, 1980",USA,No
509,Misha Cirkunov,6'3'',77'',orthodox,light heavyweight,"February 27, 1987",Russia,No
510,Johnny Walker,6'6'',82'',orthodox,light heavyweight,"March 30, 1992",Brazil,Yes
511,Volkan Oezdemir,6'2'',75'',orthodox,light heavyweight,"September 19, 1989",Switzlerland,Yes
512,Ryan Spann,6'5'',79'',orthodox,heavyweight,"August 24, 1991",USA,Yes
513,Dominick Reyes,6'4'',77'',southpaw,light heavyweight,"December 26, 1989",USA,Yes
514,Modestas Bukauskus,6'3'',76'',switch,light heavyweight,"February 10, 1994",Lithuania,Yes
515,Bogdan Guskov,6'3'',76'',orthodox,light heavyweight,"September 12, 1992",Uzbekistan,Yes
516,Jimmy Crute,6'2'',74'',orthodox,light heavyweight,"March 4, 1996",Australia,Yes
517,Michal Oleksiejczuk,6'0'',74'',southpaw,middleweight,"February 22, 1995",Poland,Yes
518,Khalil Rountree Jr.,6'1'',76'',southpaw,light heavyweight,"February 26, 1990",USA,Yes
519,Vitor Petrino,6'2'',77'',orthodox,heavyweight,"August 28, 1997",Brazil,Yes
520,Marcin Prachnio,6'3'',73'',orthodox,light heavyweight,"July 14, 1988",Poland,No
521,Ion Cutelaba,6'1'',75'',southpaw,light heavyweight,"December 14, 1993",Moldova,Yes
522,Michael Johnson,5'10'',73'',southpaw,lightweight,"June 4, 1986",USA,Yes
523,Jonathon Brookins,6'0'',74'',southpaw,lightweight,"August 13, 1985",USA,No
524,Edward Faaloto,N/A,70'',orthodox,lightweight,"July 15, 1984",USA,No
525,Paul Sass,6'0'',73'',orthodox,lightweight,"August 4, 1988",England,No
526,Shane Roller,5'10'',72'',orthodox,lightweight,"July 14, 1979",USA,No
527,Myles Jury,5'10'',73'',orthodox,featherweight,"October 31, 1988",USA,No
528,Reza Madadi,5'11'',73'',orthodox,lightweight,"June 20, 1978",Iran,No
529,Gleison Tibau,5'10'',71'',southpaw,lightweight,"October 7, 1983",Brazil,No
530,Melvin Guillard,5'9'',71'',orthodox,lightweight,"March 30, 1983",USA,No
531,Beneil Dariush,5'10'',72'',southpaw,lightweight,"May 6, 1989",USA,Yes
532,Nate Diaz,6'0'',76'',southpaw,welterweight,"April 16, 1985",USA,No
533,Justin Gaethje,5'11'',70'',orthodox,lightweight,"November 14, 1988",USA,Yes
534,Darren Elkins,5'10'',71'',orthodox,featherweight,"May 16, 1984",USA,Yes
535,Andre Fili,5'11'',74'',orthodox,featherweight,"June 25, 1990",USA,Yes
536,Artem Lobov,5'9'',65'',southpaw,featherweight,"August 11, 1986",Russia,No
537,Josh Emmett,5'6'',70'',orthodox,featherweight,"March 4, 1985",USA,Yes
538,Stevie Ray,5'10'',70'',southpaw,lightweight,"March 25, 1990",Scotland,No
539,Thiago Moises,5'9'',70'',orthodox,lightweight,"March 23, 1995",Brazil,Yes
540,Alan Patrick,5'11'',74'',southpaw,lightweight,"July 19, 1983",Brazil,No
541,Jamie Mullarkey,6'0'',74'',orthodox,lightweight,"August 17, 1994",Australia,Yes
542,Diego Ferreira,5'9'',74'',orthodox,lightweight,"January 18, 1985",Brazil,Yes
543,Darrius Flowers,5'9'',71'',orthodox,lightweight,"August 25, 1994",USA,No
544,Daniel Zellhuber,6'1'',77'',switch,lightweight,"July 7, 1999",Mexico,Yes
545,Alexander Hernandez,5'9'',72'',orthodox,lightweight,"October 1, 1992",USA,Yes
546,Drew Dober,5'8'',70'',southpaw,lightweight,"October 19, 1988",USA,Yes
547,Chris Gruetzemacher,5'8'',68'',orthodox,lightweight,"June 16, 1986",USA,No
548,Mike Breeden,5'10'',70'',orthodox,lightweight,"April 21, 1989",USA,No
549,Renato Moicano,5'11'',72'',orthodox,lightweight,"May 21, 1989",Brazil,Yes
550,Billy Quarantillo,5'10'',70'',orthodox,featherweight,"December 8, 1988",USA,Yes
551,Jim Miller,5'8'',71'',southpaw,lightweight,"August 30, 1983",USA,Yes
552,Damon Jackson,5'11'',71'',switch,featherweight,"August 8, 1988",USA,No
553,Austin Hubbard,5'10'',71'',orthodox,lightweight,"December 22, 1991",USA,No
554,Chase Hooper,6'1'',74'',southpaw,lightweight,"September 13, 1999",USA,Yes
555,Ateba Gautier,6'4'',81'',switch,middleweight,"April 10, 2002",Cameroon,Yes
556,Yura Naito,6'0'',74'',orthodox,middleweight,"April 26, 1996",Japan,No
557,Jose Daniel Medina,6'0'',74'',orthodox,middleweight,"May 17, 1991",Bolivia,Yes
558,Robert Valentin,6'2'',77'',orthodox,middleweight,"March 31, 1995",Switzlerland,Yes
559,Tre'ston Vines,6'1'',79'',orthodox,middleweight,"June 18, 1996",USA,Yes
560,Andrey Pulyaev,6'4'',78'',southpaw,middleweight,"September 10, 1997",Russia,Yes
561,Liam Anderson,6'3'',75'',orthodox,middleweight,"January 13, 1995",USA,No
562,Christian Leroy Duncan,6'2'',79'',switch,middleweight,"July 24, 1995",England,Yes
563,Nick Klein,6'1'',77'',orthodox,middleweight,"September 8, 1995",USA,Yes
564,Umar Nurmagomedov,5'8'',69'',orthodox,bantamweight,"January 3, 1996",Russia,Yes
565,Sergey Morozov,5'6'',67'',orthodox,bantamweight,"June 14, 1989",Kazakhstan,No
566,Nate Maness,5'10'',72'',orthodox,flyweight,"June 27, 1991",USA,No
567,Cory Sandhagen,5'11'',70'',switch,bantamweight,"April 20, 1992",USA,Yes
568,Merab Dvalishvili,5'6'',68'',orthodox,bantamweight,"January 10, 1991",Georgia,Yes
569,Marco Beltran,5'8'',69'',orthodox,flyweight,"May 18, 1986",Mexico,No
570,Jarred Brooks,5'3'',62'',switch,flyweight,"May 2, 1993",USA,No
571,Joseph Morales,5'6'',69'',switch,flyweight,"August 22, 1994",USA,Yes
572,John Moraga,5'6'',66'',orthodox,flyweight,"March 20, 1984",USA,Yes
573,Tim Elliott,5'7'',66'',southpaw,flyweight,"December 24, 1986",USA,Yes
574,Brandon Moreno,5'7'',70'',orthodox,flyweight,"December 7, 1993",Mexico,Yes
575,Rob Font,5'8'',71'',orthodox,bantamweight,"June 25, 1987",Puerto Rico,Yes
576,Cody Garbrandt,5'8'',65'',orthodox,bantamweight,"July 7, 1991",USA,Yes
577,Marlon Vera,5'8'',70'',switch,bantamweight,"December 2, 1992",Ecuador,Yes
578,Petr Yan,5'7'',67'',switch,bantamweight,"February 11, 1993",Russia,Yes
579,Montel Jackson,5'10'',75'',southpaw,bantamweight,"April 24, 1992",USA,Yes
580,Natalia Silva,5'4'',65'',southpaw,women's flyweight,"February 3, 1997",Brazil,Yes
581,Jasmine Jasudavicius,5'7'',68'',orthodox,women's flyweight,"March 1, 1989",Canada,Yes
582,Victoria Leonardo,5'5'',64'',orthodox,women's flyweight,"February 16, 1990",USA,No
583,Viviane Araujo,5'4'',68'',orthodox,women's flyweight,"November 21, 1986",Brazil,Yes
584,Alexa Grasso,5'5'',66'',orthodox,women's flyweight,"August 9, 1993",Mexico,Yes
585,Rose Namajunas,5'5'',65'',orthodox,women's flyweight,"June 29, 1992",USA,Yes
586,Carla Esparza,5'1'',63'',orthodox,women's strawweight,"October 10, 1987",USA,No
587,Angela Hill,5'3'',64'',orthodox,women's strawweight,"January 12, 1985",USA,Yes
588,Paige Van Zant,5'4'',65'',orthodox,women's strawweight,"March 26, 1994",USA,No
589,Tecia Pennington,5'1'',60'',orthodox,women's strawweight,"August 16, 1989",Puerto Rico,Yes
590,Karolina Kowalkiewicz,5'3'',64'',orthodox,women's strawweight,"October 15, 1985",Poland,Yes
591,Michelle Waterson-Gomez,5'3'',62'',orthodox,women's strawweight,"January 6, 1986",USA,No
592,Zhang Weili,5'4'',63'',switch,women's strawweight,"August 13, 1989",China,Yes
593,Manon Fiorot,5'7'',65'',orthodox,women's flyweight,"February 17, 1990",France,Yes
594,Amanda Ribas,5'4'',66'',orthodox,women's strawweight,"August 26, 1993",Brazil,Yes
595,Tracey Cortez,5'5'',65'',orthodox,women's flyweight,"December 10, 1993",USA,Yes
596,Miranda Maverick,5'3'',65'',southpaw,women's flyweight,"July 1, 1997",USA,Yes
597,Sodiq Yusuff,5'9'',71'',orthodox,lightweight,May 19 1993,Nigeria,Yes
598,Dan Hooker,6'0'',75'',switch,lightweight,"February 13, 1990",New Zealand,Yes
599,Calvin Kattar,5'11'',72'',orthodox,featherweight,"March 26, 1988",USA,Yes
600,Max Holloway,5'11'',69'',orthodox,featherweight,"December 4, 1991",USA,Yes
601,Movsar Evloev,5'7'',72'',orthodox,featherweight,"February 11, 1994",Russia,Yes
602,Jean Silva,5'7'',69'',orthodox,featherweight,"December 27, 1996",Brazil,Yes
603,Kevin Vallejos,5'7'',68'',switch,featherweight,"December 8, 2001",Argentina,Yes
604,Charles Jourdain,5'9'',69'',switch,bantamweight,"November 27, 1995",Canada,Yes
605,Bryce Mitchell,5'10'',70'',southpaw,bantamweight,"October 4, 1994",USA,Yes
606,Diego Lopes,5'11'',72'',orthodox,featherweight,"December 30, 1994",Brazil,Yes
607,Waldo Cortes-Acosta,6'4'',78'',orthodox,heavyweight,"October 3, 1991",Dominican Republic,Yes
608,Danilo Suzart,6'0'',N/A,orthodox,heavyweight,"December 4, 1991",Brazil,No
609,Jared Vanderaa,6'4'',80'',orthodox,heavyweight,"May 12, 1992",USA,No
610,Chase Sherman,6'4'',78'',orthodox,heavyweight,"November 16, 1989",USA,No
611,Lukasz Brzeski,6'3'',78'',orthodox,heavyweight,"May 17, 1992",Poland,No
612,Robelis Despaigne,6'7'',84'',orthodox,heavyweight,"September 9, 1988",Cuba,No
613,Serghei Spivak,6'3'',78'',orthodox,heavyweight,"January 24, 1995",Moldova,Yes
614,Sergei Pavlovich,6'3'',84'',southpaw,heavyweight,"May 13, 1992",Russia,Yes
615,Ante Delija,6'3'',78'',orthodox,heavyweight,"August 7, 1990",Croatia,Yes
616,Shamil Gaziev,6'4'',78'',orthodox,heavyweight,"February 10, 1990",Bahrain,Yes
617,Derrick Lewis,6'3'',79'',orthodox,heavyweight,"February 7, 1985",USA,Yes
618,Jack May,6'8'',N/A,switch,heavyweight,"April 14, 1981",USA,No
619,Guto Inocente,6'3'',N/A,orthodox,light heavyweight,"May 29, 1986",Brazil,No
620,Matt Mitrione,6'3'',82'',switch,heavyweight,"July 15, 1978",USA,No
621,Ruan Potts,6'2'',75'',orthodox,heavyweight,"February 23, 1978",South Africa,No
622,Viktor Pesta,6'3'',77'',orthodox,heavyweight,"July 15, 1990",Czechia,No
623,Damian Grawbowski,6'1'',75'',orthodox,heavyweight,"May 12, 1980",Poland,No
624,Gabriel Gonzaga,6'2'',76'',orthodox,heavyweight,"May 18, 1979",Brazil,No
625,Roy Nelson,6'0'',73'',orthodox,heavyweight,"June 20, 1976",USA,No
626,Travis Browne,6'6'',79'',orthodox,heavyweight,"July 17, 1982",USA,No
627,Marcin Tybura,6'3'',78'',orthodox,heavyweight,"November 9, 1985",Poland,Yes
628,Alexander Volkov,6'7'',80'',orthodox,heavyweight,"October 24, 1988",Russia,Yes
629,Daniel Cormier,5'11'',72'',orthodox,heavyweight,"March 20, 1979",USA,No
630,Blagoy Ivanov,5'11'',73'',southpaw,heavyweight,"October 9, 1986",Bulgaria,No
631,Ciryl Gane,6'4'',81'',orthodox,heavyweight,"April 12, 1990",France,Yes
632,Tai Tuivasa,6'2'',75'',southpaw,heavyweight,"March 16, 1993",Australia,Yes
633,Rodrigo Nascimento,6'2'',80'',orthodox,heavyweight,"November 26, 1992",Brazil,No
634,Tallison Teixeira,6'7'',83'',orthodox,heavyweight,"December 7, 1999",Brazil,Yes
635,Sean O Malley,5'11'',72'',switch,bantamweight,"October 24, 1994",USA,Yes
636,Alfred Khashakyan,5'8'',70'',orthodox,bantamweight,"July 17, 1988",Armenia,No
637,Terrion Ware,5'8'',71'',orthodox,bantamweight,"March 31, 1986",USA,No
