Fight_ID,Fighter_ID,Opponent_ID,Result,Duration,Significant_Strikes_Landed,Significant_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Knockdowns,Control_Time
72,514,521,W,900,44,92,0,0,0,86
72,521,514,L,900,58,130,0,4,0,141
73,514,67,W,300,22,36,0,0,0,110
73,67,514,L,300,6,14,0,2,0,45
74,500,514,W,897,72,137,1,4,1,157
74,514,500,L,897,40,108,0,0,0,56
75,555,556,W,540,48,67,0,0,1,145
75,556,555,L,540,14,31,1,11,0,307
76,555,557,W,122,28,50,0,0,1,0
76,557,555,L,122,17,33,0,0,0,0
77,555,558,W,70,19,37,0,0,1,1
77,558,555,L,70,2,5,0,0,0,0
78,555,559,W,101,6,12,1,1,1,4
78,559,555,L,101,0,1,0,2,0,6
79,560,561,W,900,98,144,1,2,0,163
79,561,560,L,900,45,86,1,5,0,667
80,560,562,L,900,18,55,0,4,0,109
80,562,560,W,900,73,141,0,2,0,336
81,560,563,W,391,23,31,0,0,1,2
81,563,560,L,391,10,21,4,7,0,285
82,555,560,W,900,34,112,0,0,2,0
82,560,555,L,900,59,123,0,0,0,0
83,522,523,L,900,30,62,0,1,1,75
83,523,522,W,900,32,67,3,13,0,587
84,522,524,W,282,27,73,1,1,1,65
84,524,522,L,282,21,47,0,0,0,11
85,522,525,L,180,8,26,0,0,0,39
85,525,522,W,180,2,16,0,3,0,5
86,522,526,W,900,64,136,1,1,0,266
86,526,522,L,900,56,92,1,12,0,233
87,522,200,W,900,67,183,0,2,1,1
87,200,522,L,900,45,176,0,1,0,0
88,522,196,W,366,17,36,0,0,1,3
88,196,522,L,366,17,35,0,1,1,242
89,522,527,L,900,6,41,0,0,0,0
89,527,522,W,900,56,121,3,6,0,632
90,522,528,L,663,20,64,0,0,1,109
90,528,522,W,663,34,46,4,6,0,407
91,522,450,W,900,116,255,2,2,2,61
91,450,522,L,900,25,109,0,4,0,28
92,522,529,W,632,22,85,0,0,1,2
92,529,522,L,632,12,63,0,2,0,59
93,522,530,W,900,48,146,1,4,0,74
93,530,522,L,900,22,103,0,1,0,0
94,522,188,W,900,38,187,1,1,0,61
94,188,522,L,900,31,98,0,2,0,0
95,522,531,L,900,84,222,0,0,0,0
95,531,522,W,900,75,101,0,7,0,0
96,522,532,L,900,103,301,1,1,0,19
96,532,522,W,900,153,300,0,0,0,0
97,522,436,W,95,14,37,0,0,1,3
97,436,522,L,95,6,12,0,0,0,0
98,522,202,L,751,19,77,0,0,0,0
98,202,522,W,751,94,142,2,6,0,524
99,522,533,L,588,91,200,1,3,0,34
99,533,522,W,588,104,174,0,0,0,6
100,522,534,L,442,45,98,0,0,0,0
100,534,522,W,442,18,64,1,4,0,121
101,522,535,W,900,65,116,0,3,0,90
101,535,522,L,900,37,117,2,4,0,200
102,522,536,W,900,99,219,1,1,0,39
102,536,522,L,900,67,189,0,0,0,0
103,522,537,L,854,24,128,0,0,0,0
103,537,522,W,854,22,87,0,3,1,2
104,522,538,L,900,78,173,0,0,0,0
104,538,522,W,900,85,188,1,4,0,174
105,522,539,L,325,27,60,0,0,0,21
105,539,522,W,325,1,16,0,3,0,0
106,522,690,L,900,58,126,0,0,0,183
106,690,522,W,900,49,89,3,7,0,413
107,522,540,W,502,30,48,1,1,1,121
107,540,522,L,502,22,47,0,5,0,12
108,522,541,L,900,66,190,0,2,1,37
108,541,522,W,900,96,217,0,2,0,17
109,522,102,W,900,83,181,0,3,0,30
109,102,522,L,900,55,127,0,6,0,0
110,522,542,L,410,32,58,0,0,0,0
110,542,522,W,410,30,71,0,2,1,1
111,522,543,W,900,61,112,4,8,0,362
111,543,522,L,900,52,86,0,2,0,43
112,522,162,W,423,19,50,0,1,1,12
112,162,522,L,423,16,56,0,0,0,0
113,522,544,W,900,80,195,0,1,1,22
113,544,522,L,900,52,182,0,0,0,8
114,545,531,W,42,8,13,0,0,1,1
114,531,545,L,42,4,11,0,0,0,0
115,545,361,W,900,39,81,4,10,0,431
115,361,545,L,900,19,32,2,6,0,232
116,545,197,L,523,49,105,0,2,0,22
116,197,545,W,523,80,162,1,1,1,29
117,545,326,W,900,25,91,0,1,0,20
117,326,545,L,900,25,52,0,0,0,0
118,545,546,L,565,34,108,3,5,0,67
118,546,545,W,565,61,145,0,0,0,11
